# Решения человека по связям между словарями.
#
# Колонки — ровно первые шесть колонок `conflicts.tsv`: строку из отчёта
# копируют сюда как есть и дописывают решение. Порядок сторон не важен.
#
#   ok      связь верна, расхождение настоящее — обе книги правы.
#           Больше не показывается в conflicts.tsv, в базе reviewed=1.
#   unlink  это разные слова — связь не создавать.
#   link    связать вручную то, чего лесенка не нашла.
#
# Строка, которая ни на что не легла (статью переименовали или её больше нет
# в источнике), печатается при сборке отдельным списком — файл не гниёт молча.
#
# ЧЕРНОВИК: решения проставлены по РУССКИМ переводам обеих сторон.
# Две строки помечены РЕШИТЬ — там перевода не хватило, нужен ваш глаз.
# В квадратных скобках оставлены переводы, чтобы было видно, на чём основано.
#
a_dict	a_slug	b_dict	b_slug	decision	note
maciev1961	байт	math1997_ce	байт	unlink	у Мациева «стих» (араб. bayt) — другое слово [стих | байт]
maciev1961	байт	comp2017_ce	байт	unlink	у Мациева «стих» — другое слово [стих | байт]
maciev1961	го̃ла	math1997_ce	гола	ok	одно слово, класс расходится [ло́коть; коле́но; поворо́т | изгиб; сгиб]
maciev1961	да̃къалг	math1997_ce	дакъалг	ok	одно слово, класс расходится [части́ца; части́чка; части́ца | элемент; дробная часть]
maciev1961	диагональ	math1997_ce	диагональ	ok	одно слово, класс расходится [в разн. знач. диагона́ль | диагональ]
maciev1961	дозалла-1	math1997_ce	дозалла	unlink	«кичливость» ≠ «вес»; проверить дозалла-2 [кичли́вость; зано́счивость; высокоме́рие | вес]
maciev1961	до̃ьзал	math1997_ce	доьзал	ok	одно слово, класс расходится [семья́; семе́йство | семейство]
maciev1961	календарь	comp2017_ce	календарь	ok	одно слово, класс расходится [календа́рь | календа́рь]
maciev1961	калькулятор	comp2017_ce	калькулятор	ok	одно слово, класс расходится [калькуля́тор | калькуля́тор]
maciev1961	команда	comp2017_ce	команда	ok	одно слово, класс расходится [кома́нда | кома́нда]
maciev1961	мах-1	math1997_ce	мах	unlink	«кольцо ремешка» ≠ «оценка» [кольцо́; в кото́рое продева́ют коне́ц поясно́го ремешка́ | оценка]
maciev1961	мах-2	math1997_ce	мах	ok	«цена, стоимость» = «оценка», класс расходится [торго́вля; цена́; сто́имость | оценка]
maciev1961	маша	comp2017_ce	ма̃ша	unlink	«молочный продукт» ≠ «сеть»; и долгота разная [моло́чный проду́кт | сеть]
maciev1961	миллиард	math1997_ce	миллиард	ok	одно слово, класс расходится [миллиа́рд | миллиард]
maciev1961	миллион	math1997_ce	миллион	ok	одно слово, класс расходится [миллио́н | миллион]
maciev1961	могӀа-1	math1997_ce	могӀа-1	ok	одно слово, класс расходится [строка́ | ряд]
maciev1961	могӀа-1	math1997_ce	могӀа-2	ok	одно слово, класс расходится [строка́ | строка]
maciev1961	могӀа-1	comp2017_ce	могӀа	ok	одно слово, класс расходится [строка́ | по́ле]
maciev1961	некъ	math1997_ce	некъ	ok	одно слово, класс расходится [доро́га; путь | путь]
